year_quart,ml_one_tag,ml_two_tags,ml_three_tags,ml_four_tags,ml_five_tags,ml_total_tags,total_tags_numbers
202101,19,82,117,128,155,501,1848
202004,17,71,108,99,167,462,1528
202003,17,54,150,151,166,538,1750
202002,13,74,161,171,197,616,2248
202001,18,70,154,173,191,606,1775
201904,21,66,122,132,144,485,1489
201903,26,86,163,169,125,569,1731
201902,22,97,180,145,123,567,1777
201901,22,108,164,143,130,567,1715
201804,19,66,118,107,112,422,1261
201803,16,78,157,125,157,533,1451
201802,20,68,149,118,135,490,1418
201801,15,58,138,100,141,452,1196
201704,15,49,87,90,83,324,881
201703,8,37,74,60,48,227,705
201702,14,44,67,50,47,222,629
201701,10,42,71,47,46,216,685
201604,4,25,46,51,39,165,513
201603,11,37,50,49,48,195,571
201602,4,24,45,32,36,141,508
201601,10,41,38,33,38,160,511
201504,8,28,44,34,9,123,377
201503,10,28,31,23,18,110,309
201502,4,32,26,25,9,96,283
201501,9,24,18,5,9,65,186
201404,8,18,19,15,9,69,212
201403,3,19,15,16,8,61,187
201402,6,8,11,8,8,41,156
